Country,Very important (%),Rather important (%),Not very important (%),Not at all important (%),No answer (%),Don't know (%)
Algeria,49.2,30.8,12.2,6.8,0.6,0.3
Azerbaijan,40.7,37.7,18.8,2.8,0,0
Argentina,53.9,33.6,10.5,1.7,0.2,0
Australia,55.6,37.5,3.5,0.4,3,0
Armenia,42.9,45,9,2.7,0,0.4
Brazil,33,50,15.1,1.7,0.1,0.1
Belarus,42.7,41.6,13.2,1.6,0,0.9
Chile,35.1,43.6,18,2.2,0.3,0.8
China,46.6,44.4,6.7,0.4,0.8,1.1
Taiwan,44,46.3,8,0.6,0.1,1.1
Colombia,30.7,40.7,25.2,3.3,0.1,0
Cyprus,60.6,32.1,6.4,0.7,0.2,0
Ecuador,32.6,41.3,22.6,3.4,0,0
Estonia,50.9,39,9,0.9,0.1,0.2
Georgia,74,23.4,2.2,0.3,0,0
Palestine,43.8,41,12.1,2.9,0,0.2
Germany,50.9,42.6,6.1,0.3,0,0
Ghana,45.7,33.7,16,4.5,0,0
Haiti,35.9,55.4,6.2,1.7,0.7,0.3
Hong Kong,41.5,54.2,4,0.3,0,0
India,44.9,40.4,9.5,3.5,0,1.6
Iraq,47.8,39.4,10.8,1.8,0,0.2
Japan,45,47,5.4,0.4,0,2.2
Kazakhstan,48.4,38.3,12.1,1.3,0,0
Jordan,50.7,40.2,7,2,0,0
South Korea,49.3,46,3.8,0.2,0.7,0
Kuwait,54.3,37.3,5.9,1.1,1.3,0.2
Kyrgyzstan,30.5,61.5,7.3,0.8,0,0
Lebanon,51.9,31.8,12.3,2.6,1.2,0.1
Libya,61.3,33,3,0.7,0.4,1.6
Malaysia,44.8,47.2,7.5,0.5,0,0
Mexico,38.6,39.4,17.4,4.6,0,0
Morocco,35.8,42.5,16.7,4.7,0.2,0.2
Netherlands,49.6,45.1,4.3,0.3,0,0.7
New Zealand,57,35.2,4.9,0.1,2.7,0.1
Nigeria,62.2,32.3,5.1,0.4,0,0
Pakistan,42.6,40.5,14.3,2.3,0.2,0
Peru,23.5,32.4,40.4,2.6,0.6,0.5
Philippines,30.8,58.9,8.6,1.6,0,0.1
Poland,38.3,55.2,5,1.2,0,0.2
Qatar,72.9,25.6,1.4,0.2,0,0
Romania,22.4,52.2,22.1,3.1,0.1,0
Russia,34.6,45.8,15.2,3.5,0.4,0.5
Rwanda,72.1,25,2.5,0.5,0,0
Singapore,52.5,41.4,5.5,0.6,0,0
Slovenia,44.2,47.9,7.5,0.4,0.1,0
South Africa,44.7,37.1,13.4,4.4,0,0.3
Zimbabwe,37.8,46.5,14.3,1.4,0,0
Spain,52.4,42.8,3.5,0.1,1.1,0.1
Sweden,67.8,29.5,2.2,0.3,0.2,0
Thailand,32.3,49.8,15.3,2.4,0.1,0.2
Trinidad and Tobago,33.9,41.6,22.2,1.7,0,0.5
Tunisia,48.2,34.2,9.8,7.6,0.1,0.1
Turkey,58,38.9,2.3,0.4,0,0.4
Ukraine,44,41.6,12.3,2,0,0
Egypt,54.9,33.6,9,2.5,0,0
United States,53.5,39.8,5.1,0.8,0.8,0
Uruguay,51.4,31,13.6,3.7,0.1,0.2
Uzbekistan,52.3,38.5,8,1.1,0.1,0
Yemen,49.5,40.7,7.4,1.2,0,1.2
