Country,Very happy (%),Rather happy (%),Not very happy (%),Not at all happy (%),No answer (%),Don´t know (%)
Algeria,17.6,57.9,15.2,3.8,5.5,0
Azerbaijan,27.2,53.4,16.8,2.6,0,0
Argentina,33.3,53.1,11.6,1,0.5,0.5
Australia,34.9,57.7,6.2,0.5,0.7,0
Armenia,31.2,50.8,12,5.1,0.1,0.8
Brazil,35.2,56.8,7.2,0.8,0.1,0
Belarus,10.6,53.1,27.3,3.5,1.1,4.4
Chile,24.4,60.1,14.4,0.8,0.2,0.1
China,15.7,68.8,13.3,1.1,0.5,0.7
Taiwan,26,63.9,7.8,1.3,0.2,0.8
Colombia,56.5,35,7.9,0.5,0.1,0
Cyprus,25.9,55.8,14.4,3.5,0.2,0.2
Ecuador,57.7,35.3,6.2,0.7,0,0
Estonia,12.7,64,19.9,1.9,0.1,1.4
Georgia,21.5,48.1,25.3,5.1,0,0.1
Palestine,10.3,64.1,19.7,5.5,0,0.4
Germany,23.1,60.9,13.4,1.5,0.2,1
Ghana,51,29.8,15.9,3.3,0,0
Haiti,31.7,51.8,9.9,5.7,0.2,0.9
Hong Kong,23.4,65.7,9.3,1.4,0.2,0
India,37.4,50,10.8,1.4,0,0.3
Iraq,10.5,57.5,26.3,4.8,0,0.9
Japan,32.3,54.2,9.4,1,0,3.2
Kazakhstan,31.2,57.3,11.1,0.4,0,0
Jordan,20.8,65,9.8,4.5,0,0
South Korea,15.2,74.8,9.2,0.7,0.1,0
Kuwait,41.3,50.3,6.4,0.9,0.4,0.6
Kyrgyzstan,36.2,59.7,3.7,0.3,0.1,0
Lebanon,17.9,60.4,19,2.2,0.5,0
Libya,38.5,49,8.7,2.9,0.2,0.7
Malaysia,56.5,39.5,3.9,0,0,0
Mexico,67.5,26.8,5.3,0.4,0,0
Morocco,21,57.3,15.8,5.6,0.2,0.1
Netherlands,31.9,60.5,6,0.6,0,0.9
New Zealand,33.7,58.7,4.3,0.7,1.8,0.8
Nigeria,55.6,29.1,11.6,3.7,0,0
Pakistan,45.6,39.1,10.9,4.2,0.2,0
Peru,35.1,40.9,22.4,0.9,0,0.7
Philippines,49.6,39.8,9.6,1.1,0,0
Poland,22.2,70.4,5.3,0.5,0.5,1
Qatar,56.4,41.6,1.7,0.3,0,0
Romania,13.6,55.4,26.4,4,0.3,0.3
Russia,14.8,58.5,20.7,1.8,0.4,3.8
Rwanda,40.6,49.8,8.5,1,0,0
Singapore,39.1,53.9,6.5,0.5,0,0
Slovenia,19.5,63.8,14.2,1.8,0.5,0.3
South Africa,39.3,37.1,17.7,5.6,0,0.3
Zimbabwe,39.4,39.5,18.7,2.5,0,0
Spain,15.5,70.9,12.2,1.1,0,0.3
Sweden,40.5,54.1,4.9,0.4,0.2,0
Thailand,39.7,53.3,5.3,1.6,0,0
Trinidad and Tobago,54.2,33.8,11.1,0.9,0,0
Tunisia,16.7,62.6,15.8,4.7,0,0.2
Turkey,37.5,46.3,11.9,3.8,0.3,0.2
Ukraine,16.1,52,22.6,4.2,0.7,4.3
Egypt,5.3,20.7,30.1,44,0,0
United States,36.1,53.5,8.8,1.2,0.5,0
Uruguay,34.2,51.8,11.4,2.1,0.4,0.1
Uzbekistan,64.5,31.5,3.3,0.2,0.5,0
Yemen,17.9,54.2,24.4,3.5,0,0
