Country,Very good (%),Good (%),Fair (%),Poor (%),No answer (%),Don´t know (%)
Algeria,22.4,42.6,25.6,8,1.4,0
Azerbaijan,15.6,50.5,27.6,6.3,0,0
Argentina,28.5,46.4,19.9,4.8,0.3,0.1
Australia,31.6,46.2,18.5,3.1,0.7,0
Armenia,10.7,30,39.4,19.8,0.2,0
Brazil,24.2,47,25.5,3.1,0,0.1
Belarus,4.5,28.9,51.9,13.2,0.7,0.8
Chile,19,53.7,23.8,3.4,0.1,0
China,23.6,45.1,24.7,6.1,0.5,0
Taiwan,27.4,58.9,10.8,2.7,0,0.2
Colombia,26.1,49.9,22.2,1.7,0,0.1
Cyprus,39.7,35.1,20.5,4.5,0.2,0
Ecuador,25.6,48.4,22.5,3.4,0,0
Estonia,12.4,36.3,41.2,9.9,0,0.2
Georgia,13.6,29,37.4,20,0,0
Palestine,28,46.8,19.1,6.1,0,0
Germany,27.7,39.1,25.3,7.8,0.1,0
Ghana,49.7,37.7,10,2.7,0,0
Haiti,16.9,52.7,22.6,7.1,0.3,0.4
Hong Kong,14.8,43,36.5,5.4,0.3,0
India,26.5,45.3,20.6,7.3,0,0.2
Iraq,16.2,49.2,27.3,6.8,0,0.4
Japan,13.3,37.9,37.5,9.6,0,1.7
Kazakhstan,13.5,48.1,33,5.4,0,0
Jordan,38.9,41.2,15.2,4.8,0,0
South Korea,14.9,65.2,17.6,0.9,1.4,0
Kuwait,42.2,42.1,13,1.8,0.8,0.1
Kyrgyzstan,18.3,56.9,21.9,2.8,0.1,0
Lebanon,26.1,47.7,23.8,2.2,0.3,0
Libya,51.3,33.7,10.8,3.5,0.1,0.5
Malaysia,38.3,48.5,11.8,1.5,0,0
Mexico,26.1,46.6,25,2.2,0,0
Morocco,37.4,34.2,23.2,5.1,0.1,0
Netherlands,15.1,60.2,20.4,3.6,0,0.7
New Zealand,35.2,45.2,15.3,2.7,1.4,0.1
Nigeria,55,35.8,7.3,1.8,0,0
Pakistan,36.1,43.2,15.7,4.6,0.4,0.1
Peru,13.2,41.1,41.8,3.6,0.1,0.2
Philippines,17.7,38.8,38.3,5.1,0,0
Poland,20.9,40.4,28.5,10.3,0,0
Qatar,50.3,38.2,10.4,1.1,0,0
Romania,15.4,49.7,25.9,8.9,0.1,0
Russia,5.1,39,44.5,10.6,0.4,0.4
Rwanda,33.8,49.1,13,4.1,0,0
Singapore,27,53.6,17.2,2,0.1,0
Slovenia,22.3,42.8,22.9,12,0,0
South Africa,41.8,42,11.9,4.3,0,0
Zimbabwe,46.5,33.6,14.7,5.2,0,0
Spain,20.3,53.9,20.6,5,0.1,0.1
Sweden,30.8,44.8,21,3.3,0.1,0.1
Thailand,29.4,49.9,18.3,2.4,0,0
Trinidad and Tobago,42.5,32.4,20.6,4.4,0,0
Tunisia,28,42.1,23,6.8,0,0.1
Turkey,18.8,47.6,25.5,5.6,1.5,1
Ukraine,6,31.2,45.5,16.6,0.1,0.6
Egypt,14.3,45,25,15.7,0,0
United States,27.8,52.1,16.1,3.3,0.7,0
Uruguay,25.8,54.6,16.4,3.1,0.1,0
Uzbekistan,25.5,48,22.3,4.1,0.1,0
Yemen,24.4,46.1,23.8,5.7,0,0
