Country,Very important (%),Rather important (%),Not very important (%),Not at all important (%),No answer (%),Don´t know (%)
Algeria,37.8,29.6,19.2,11.9,1.3,0.2
Azerbaijan,21.3,44.5,28.3,5.8,0,0
Argentina,33.7,43,18.7,3.9,0.6,0
Australia,41,48.3,7,0.6,3.1,0
Armenia,27.1,49.9,16.4,4.4,0.1,2.1
Brazil,32.8,54.6,10.4,1.8,0.1,0.3
Belarus,37.1,38.5,18.4,4.5,0,1.5
Chile,56.1,34.1,7.6,1.4,0.4,0.4
China,21.2,48.6,24.4,1.7,1.3,2.7
Taiwan,35.5,48.8,12.7,1.2,0.1,1.7
Colombia,49.4,36.2,12.5,1.7,0,0.1
Cyprus,55.9,34.3,7.8,1.9,0.2,0
Ecuador,55.9,30.6,11.5,1.9,0,0.1
Estonia,40.8,42.5,13.8,2.4,0.1,0.4
Georgia,32.4,40.8,19.4,7.3,0,0.1
Palestine,27.7,41.9,23,6.3,0.3,0.8
Germany,31.6,55.8,11.4,1,0.2,0.1
Ghana,51.9,34.9,11.7,1.5,0,0
Haiti,21.7,38.1,27.1,12.4,0.4,0.3
Hong Kong,33.5,53.5,11.9,0.6,0.5,0
India,34.9,35.2,19.1,9,0,1.8
Iraq,16.8,42.2,31.4,8.8,0.2,0.5
Japan,42.3,46.1,8.3,0.5,0,2.8
Kazakhstan,42.3,37.5,18,2.2,0,0
Jordan,33.6,42.8,17.9,5.7,0,0
South Korea,30.8,55.8,10.9,1,1.5,0
Kuwait,33.8,37.5,18.9,6.3,2.5,0.9
Kyrgyzstan,23.6,44.5,25.5,6.3,0,0
Lebanon,37.1,34,18.4,8.7,0.6,1.2
Libya,41.4,36.7,15.3,4.1,0.5,2.1
Malaysia,39.2,46.9,12.6,1.2,0,0
Mexico,59.2,26.6,11.7,2.5,0,0
Morocco,16.9,29.8,28,18.6,3.2,3.5
Netherlands,40.4,52.6,5.7,0.2,0,1
New Zealand,47.8,41.3,7,0.1,3.7,0.1
Nigeria,52.2,33.3,11.9,2.6,0,0
Pakistan,16.5,37.2,35.6,9.4,0.5,0.9
Peru,37,36.4,22.5,2.5,1,0.6
Philippines,11.7,43.3,32.8,11.9,0,0.2
Poland,35,50.5,11.6,1.2,0,1.6
Qatar,42.9,40.5,12.3,4.2,0,0.1
Romania,34.1,44.4,17,4,0.2,0.3
Russia,29.4,45.2,18.5,5.1,0.6,1.1
Rwanda,31.4,41.6,22.5,4.5,0,0
Singapore,38.3,49.6,10.9,1.2,0,0
Slovenia,41.2,46.2,10.7,1.2,0.7,0
South Africa,36.1,35.9,18.9,8.2,0,0.9
Zimbabwe,38.7,41.8,17.5,2,0,0
Spain,44.8,46.3,7.6,0.3,0.6,0.3
Sweden,53.6,41.3,3.5,0.5,1.1,0
Thailand,26.4,51,17.7,3.7,0.6,0.5
Trinidad and Tobago,56.2,25,15.6,2.7,0,0.5
Tunisia,36,32.5,20.8,8.1,0.2,2.2
Turkey,41.9,43.2,12,1.8,0.2,0.8
Ukraine,36.9,43.6,15.4,4,0,0
Egypt,21.1,39.8,30.8,8.3,0,0
United States,38.9,51.6,8,0.9,0.6,0
Uruguay,48.9,37.8,10.4,1.6,0.7,0.6
Uzbekistan,29.8,35.9,22.9,10.6,0.7,0
Yemen,17,38.3,33.1,8.5,0,3.1
