Country,Very important (%),Rather important (%),Not very important (%),Not at all important (%),No answer (%),Don´t know (%)
Algeria,76,10.9,4.8,5.7,0.8,1.8
Azerbaijan,67.3,16,11.7,5,0,0
Argentina,57.4,29.8,7,4.4,0.9,0.4
Australia,30.2,51.4,8.6,5.9,3.9,0
Armenia,70.9,22.3,3.4,2,0.7,0.7
Brazil,63.6,34.2,1.3,0.6,0,0.2
Belarus,45.2,32.4,12.4,9.1,0,0.9
Chile,56.3,32.5,5.8,2.9,1.4,1.1
China,38.1,41.5,13.3,2.7,1.5,2.9
Taiwan,60.2,29.9,6.2,2.5,0.1,1.1
Colombia,76.3,22.1,0.9,0.7,0.1,0.1
Cyprus,66.4,25.6,5,2.4,0.5,0
Ecuador,88.5,7.3,2.8,1.3,0,0
Estonia,53,29.3,8.8,7.8,0.5,0.6
Georgia,73.1,15.6,6.4,4.7,0,0.1
Palestine,64.6,19.7,8.9,3.9,1.5,1.4
Germany,39.4,40.5,9.9,7,3.2,0.1
Ghana,94.8,3.9,1.1,0.2,0,0
Haiti,66.7,25.5,5.8,1.5,0.2,0.5
Hong Kong,31.5,48.5,15.1,4.7,0.2,0
India,77.3,16.8,2.5,1.7,0,1.7
Iraq,66,24.8,6.8,2.3,0,0.2
Japan,52.1,32.1,8.4,1.9,0,5.4
Kazakhstan,61.9,23.1,10.7,4.3,0,0
Jordan,68.1,18.7,5.3,6.3,0,1.6
South Korea,60.8,29.8,4.8,3.4,1.2,0
Kuwait,75.8,16.4,2.9,2,2.5,0.3
Kyrgyzstan,63.7,29.6,5,1.7,0,0
Lebanon,62.4,20.3,9.5,4.9,0.8,2.1
Libya,78.9,10,5.6,3.2,0.4,2
Malaysia,82.8,13.1,3.3,0.8,0,0
Mexico,87,8.5,2.8,1.7,0,0
Morocco,82.5,12.7,2.6,1.5,0.7,0.1
Netherlands,29.5,49.1,12.4,5.2,0,3.8
New Zealand,35,46.1,8.1,5,5.2,0.6
Nigeria,76.8,16.3,3.9,2.9,0,0
Pakistan,72.8,17.3,4.9,3.2,0.9,0.8
Peru,69.1,25.6,3.2,0.6,1.3,0.3
Philippines,90.5,7.5,1.4,0.4,0,0.1
Poland,64.2,25,4,3.8,1.1,1.8
Qatar,84.5,9.9,4.2,1.4,0,0
Romania,55.9,34.3,6.4,2.8,0.2,0.3
Russia,45,29.3,9.4,9.7,5.4,1.2
Rwanda,70.5,18,10,1.4,0,0
Singapore,43.4,39.6,13.1,3.8,0,0
Slovenia,41.3,46.9,8.8,1.8,0.8,0.4
South Africa,57.5,22.6,9.4,6.1,0,4.4
Zimbabwe,85.4,11.8,1.7,1,0,0
Spain,62.4,22.3,7.8,6.3,0.8,0.4
Sweden,50.3,34.6,7.5,2.5,4.8,0.3
Thailand,66.6,25.4,5.4,1.9,0.7,0.1
Trinidad and Tobago,76.5,10.6,5.5,6.7,0,0.7
Tunisia,87,7.2,3.1,2.2,0.2,0.4
Turkey,49.6,31.7,11.9,5.7,0.2,0.9
Ukraine,52.6,26.2,12,9.2,0,0
Egypt,61,21.3,9.7,8,0,0
United States,35.6,44.3,12.9,6.6,0.6,0
Uruguay,63.7,26,4.8,4.5,0.3,0.7
Uzbekistan,71.1,13.6,8.7,5.9,0.7,0
Yemen,69.9,15.1,8.1,5.8,0,1.1
